LRIMOShipNo,ShipName,ShipStatus,ShiptypeLevel5,GrossTonnage,Deadweight,BollardPull,Breadth,BunkersDescriptiveNarrative,CargoCapacitiesNarrative,CargoGradesSegregations,ClassNarrative,CountryOfBuild,DateOfBuild,Displacement,Draught,FlagCode,FlagName,FuelConsumptionTotal,FuelType1Capacity,FuelType1Code,FuelType1First,FuelType2Capacity,FuelType2Code,FuelType2Second,GasCapacity,GrainCapacity,HullType,HullTypeCode,IceCapabilityDescriptiveNarrative,Length,LiquidCapacity,MaritimeMobileServiceIdentityMMSINumber,NumberofTanks,Operator,PassengerCapacity,PortofRegistryCode,PortofRegistry,SegregatedBallastCapacity,SegregatedBallastTanks,Shipbuilder,ShiptypeGroup,ShiptypeLevel2,ShiptypeLevel3,ShiptypeLevel4,ShiptypeLevel5HullType,ShiptypeLevel5SubGroup,ShiptypeLevel5SubType,SlopTankCapacity,Speed,StandardShipDesign,StatCode5,TEU
5164916,SEASPAN SOVEREIGN,In Service/Commission,Tug,432,0,0,9.15,,,0,,United States Of America,194400,0,5.501,CAN,Canada,0,0,DF,Distillate Fuel,0,NN,Not Applicable,0,0,,,,37.5,0,316272000,,Seaspan ULC,0,1497,"Victoria, BC",0,,Calumet,,Miscellaneous,Towing / Pushing,Tug,Ship Shape Including Multi-Hulls,Specialist 1,Tug,,0,,B32A2ST,0
5218183,MALASPINA,In Service/Commission,Passenger/Ro-Ro Ship (Vehicles),9121,0,0,22.41,Fuel: consumption: 13.00pd,Passengers; unberthed 226; cabins 86; berths 274; Crew 50; Lorries 20; Cars 80,0,"American Bureau of Shipping (1963-06-00) AB: Class Notation: (+)A1, Ferry Service, (E), (+)AMS  Service Restriction: Unrestricted Service",United States Of America,196306,0,4.893,USA,United States Of America,13,500,DF,Distillate Fuel,0,NN,Not Applicable,0,0,,,,124.42,0,367143000,,Alaska State,500,950,"Skagway, AK",0,,Puget Sound Bridge Seattl,,Dry Cargo/Passenger,Passenger/Ro-Ro Cargo,Passenger/Ro-Ro Cargo Ship,Ship Shape Including Multi-Hulls,Passenger,Passenger/Ro-Ro Ship (Vehicles),,16.5,,A36A2PR,0
5228827,MATANUSKA,In Service/Commission,Passenger/Ro-Ro Ship (Vehicles),9214,0,0,22.41,,Passengers; unberthed 494; cabins 105; Cars 87,0,"American Bureau of Shipping (1963-03-00) AB: Class Notation: (+)A1, Ferry Service, (E), (+)AMS  Service Restriction: Unrestricted Service",United States Of America,196303,0,4.893,USA,United States Of America,0,485.5,RF,Residual Fuel,0,NN,Not Applicable,0,0,,,,124.36,0,338195000,,Alaska State,494,948,"Haines, AK",0,,Puget Sound Bridge Seattl,,Dry Cargo/Passenger,Passenger/Ro-Ro Cargo,Passenger/Ro-Ro Cargo Ship,Ship Shape Including Multi-Hulls,Passenger,Passenger/Ro-Ro Ship (Vehicles),,16.5,,A36A2PR,0
5229704,MAUNA LOA,In Service/Commission,Tug,257,0,0,8.08,,,0,,United States Of America,196300,0,4.058,USA,United States Of America,0,0,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,36.02,0,366998090,,Salmon Bay Barge Line Inc,0,2466,"Portland, OR",0,,San Diego,,Miscellaneous,Towing / Pushing,Tug,Ship Shape Including Multi-Hulls,Specialist 1,Tug,,0,,B32A2ST,0
5234981,MIKIMIKI,In Service/Commission,Tug,271,0,0,8.69,,,0,,United States Of America,196005,0,4.188,USA,United States Of America,0,141,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,30.23,0,367055750,,Sause Bros Inc,0,2466,"Portland, OR",0,,Albina,,Miscellaneous,Towing / Pushing,Tug,Ship Shape Including Multi-Hulls,Specialist 1,Tug,,0,,B32A2ST,0
5244259,MUSKRAT,No Longer Meets Ihsf Criteria,Fishing Vessel,164,0,0,8.11,,,0,,United States Of America,194200,0,2.871,USA,United States Of America,0,0,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,27.08,0,367023180,,Sunnyvale Ventures LLC,0,1811,"Juneau, AK",0,,Maritime Shipyards Seattle,,Fishing,Fish Catching,Fishing Vessel,Ship Shape Including Multi-Hulls,Fishing,Fishing Vessel,,0,,B11B2FV,0
5287744,NICOLA,In Service/Commission,Passenger/Ro-Ro Ship (Vehicles),255,0,0,11.92,,Passengers; unberthed 134; Cars 16,0,,Canada,196000,0,0,CAN,Canada,0,0,DF,Distillate Fuel,0,NN,Not Applicable,0,0,,,,33.53,0,316012834,,British Columbia Ferry,134,1497,"Victoria, BC",0,,Allied Shipbuilders Ltd,,Dry Cargo/Passenger,Passenger/Ro-Ro Cargo,Passenger/Ro-Ro Cargo Ship,Ship Shape Including Multi-Hulls,Passenger,Passenger/Ro-Ro Ship (Vehicles),,10,,A36A2PR,0
5290911,INDEPENDENCE,In Service/Commission,Fish Factory Ship,5716,4521,0,15.09,,Crew 194,0,,United States Of America,193800,0,5.138,USA,United States Of America,0,99.5,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,88.4,0,366299000,,Trident Seafoods Corp,0,2112,"Seattle, WA",0,,Manitowoc Shipbuilding Co,,Fishing,Other Fishing,Fish Factory Ship,Ship Shape Including Multi-Hulls,Fishing,Fish Factory Ship,,10.5,,B12A2FF,0
5329566,POLAR PRINCE,In Service/Commission,Buoy Tender,2062,960,0,14.62,,Crew 25,0,Det Norske Veritas (2010-06-00),Canada,195905,0,4.979,CAN,Canada,0,552,DF,Distillate Fuel,0,NN,Not Applicable,0,0,,,Icebreaking,67.21,0,316006460,,GX Technology Corp,0,8065,"Ottawa, ON",0,,Davie Shipbuilding Ltd,,Miscellaneous,Other Activities,Buoy/Lighthouse Vessel,Ship Shape Including Multi-Hulls,Specialist 2,Buoy Tender,,13,,B34Q2QB,0
5351052,TAKU,In Service/Commission,Passenger/Ro-Ro Ship (Vehicles),7302,759,0,22.41,Fuel: consumption: 15.00pd,Passengers; unberthed 270; cabins 42; berths 100; Crew 43; Trailers 69,0,"American Bureau of Shipping (1963-05-00) AB: Class Notation: (+)A1, Ferry Service, (E), (+)AMS  Service Restriction: Unrestricted Service",United States Of America,196303,4309,5.18,USA,United States Of America,15,1218,DF,Distillate Fuel,0,NN,Not Applicable,0,0,,,,107.3,0,338697000,,Alaska State,370,1886,"Wrangell, AK",0,,Puget Sound Bridge Seattl,,Dry Cargo/Passenger,Passenger/Ro-Ro Cargo,Passenger/Ro-Ro Cargo Ship,Ship Shape Including Multi-Hulls,Passenger,Passenger/Ro-Ro Ship (Vehicles),,16.5,,A36A2PR,0
5408491,COASTAL TRADER,In Service/Commission,Refrigerated Cargo Ship ,1823,1825,0,13.42,,"Grain 2,647; Bale 2,478; Insulated 2,478",0,,Netherlands,196302,0,4.041,USA,United States Of America,0,143.5,DF,Distillate Fuel,0,NN,Not Applicable,0,2647,,,,78.34,0,368682000,,Coastal Transportation,0,2112,"Seattle, WA",0,,Ijsselwerf,,Dry Cargo/Passenger,Refrigerated Cargo,Refrigerated Cargo Ship,Ship Shape Including Multi-Hulls,General Cargo,Refrigerated Cargo Ship,,10.5,,A34A2GR,0
6404375,QUEEN OF NANAIMO,In Service/Commission,Passenger/Ro-Ro Ship (Vehicles),4939,1141,0,23.17,,Passengers; unberthed 987; Cars 152; Trailers 8,0,Lloyd's Register (1992-99-00)LR Class: + 100 A1 Survey Type: Continuous Survey Date: 2011-03 Class Notation: Strait of Georgia service to include Puget Sound LR Machinery Class: LR Maltese Cross LMC Fee Numeral: 3515 LR Hull Notes: 10BH,Canada,196406,0,3.976,CAN,Canada,0,0,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,129.98,0,316001254,,British Columbia Ferry,987,1497,"Victoria, BC",0,,Victoria Machinery Depot Co,,Dry Cargo/Passenger,Passenger/Ro-Ro Cargo,Passenger/Ro-Ro Cargo Ship,Ship Shape Including Multi-Hulls,Passenger,Passenger/Ro-Ro Ship (Vehicles),,18,,A36A2PR,0
6407834,JOHN BRIX,In Service/Commission,Tug,517,0,0,10.67,,,0,,United States Of America,196300,0,5.385,USA,United States Of America,0,381,DF,Distillate Fuel,0,NN,Not Applicable,0,0,,,,43.08,0,367309320,,Kirby Offshore Marine Pacific,0,2112,"Seattle, WA",0,,Southern Slidell,,Miscellaneous,Towing / Pushing,Tug,Ship Shape Including Multi-Hulls,Specialist 1,Tug,,0,,B32A2ST,0
6413663,QUEEN OF NEW WESTMINSTER,In Service/Commission,Passenger/Ro-Ro Ship (Vehicles),8785,1765,0,23.17,Fuel: consumption: 35.00pd,"Passengers; unberthed 1,341; Crew 34; Lorries 17; Cars 144; Trailers 25",0,Lloyd's Register (1964-07-00)LR Class: + 100 A1 Survey Type: Continuous Survey Date: 2008-12 Class Notation: Strait of Georgia service LR Machinery Class: LR Maltese Cross LMC Fee Numeral: 3517 LR Hull Notes: 10BH,Canada,196407,6147,3.616,CAN,Canada,35,297,DF,Distillate Fuel,0,NN,Not Applicable,0,0,,,,129.98,0,316001255,,British Columbia Ferry,1341,1497,"Victoria, BC",0,,Victoria Machinery Depot Co,,Dry Cargo/Passenger,Passenger/Ro-Ro Cargo,Passenger/Ro-Ro Cargo Ship,Ship Shape Including Multi-Hulls,Passenger,Passenger/Ro-Ro Ship (Vehicles),,21,,A36A2PR,0
6413924,OCEAN PHOENIX,In Service/Commission,Fish Factory Ship,17845,19286,0,23.17,,,0,Det Norske Veritas (1989-00-00) NV: Class Notation: 1A1,United States Of America,196412,0,9.449,USA,United States Of America,0,3036,RF,Residual Fuel,0,NN,Not Applicable,0,0,,,,203.82,0,366588000,,Premier Pacific Seafoods Inc,0,2112,"Seattle, WA",0,,Nassco,,Fishing,Other Fishing,Fish Factory Ship,Ship Shape Including Multi-Hulls,Fishing,Fish Factory Ship,,20,,B12A2FF,0
6418625,WENDY SEAA,In Service/Commission,Fishing Vessel,277,0,0,7.51,,,0,,Canada,196411,0,3.201,USA,United States Of America,0,30.5,DF,Distillate Fuel,0,NN,Not Applicable,0,0,,,,36.58,0,367347000,,Brown MR,0,2041,"Anacortes, WA",0,,Ferguson Industries Ltd,,Fishing,Fish Catching,Fishing Vessel,Ship Shape Including Multi-Hulls,Fishing,Fishing Vessel,,0,,B11B2FV,0
6420513,ZEAL,In Service/Commission,Stern Trawler,183,78,0,6.71,,,0,,Canada,196506,0,0,CAN,Canada,0,0,DF,Distillate Fuel,0,NN,Not Applicable,0,0,,,,28.66,0,316001025,,Steinar Fishing,0,1673,"Vancouver, BC",0,,Bathurst Marine - Bathurst,,Fishing,Fish Catching,Trawler,Ship Shape Including Multi-Hulls,Fishing,Stern Trawler,,0,,B11A2FS,0
6422602,SENA II,In Service/Commission,Stern Trawler,183,78,0,6.71,,,0,,Canada,196507,0,0,CAN,Canada,0,0,DF,Distillate Fuel,0,NN,Not Applicable,0,0,,,,28.66,0,316001125,,Canadian Black Cod Fishing,0,1497,"Victoria, BC",0,,Bathurst Marine - Bathurst,,Fishing,Fish Catching,Trawler,Ship Shape Including Multi-Hulls,Fishing,Stern Trawler,,0,,B11A2FS,0
6501850,TENAKA,In Service/Commission,Passenger/Ro-Ro Ship (Vehicles),651,41,0,13.11,,Passengers; unberthed 206; Cars 18,0,,Canada,196403,0,2.591,CAN,Canada,0,0,DF,Distillate Fuel,0,NN,Not Applicable,0,0,,,,46.18,0,316001272,,British Columbia Ferry,206,1497,"Victoria, BC",0,,Victoria Machinery Depot Co,,Dry Cargo/Passenger,Passenger/Ro-Ro Cargo,Passenger/Ro-Ro Cargo Ship,Ship Shape Including Multi-Hulls,Passenger,Passenger/Ro-Ro Ship (Vehicles),,12,,A36A2PR,0
6503731,SEASPAN QUEEN,In Service/Commission,Tug,207,0,25,7.62,,,0,,Canada,196400,0,0,CAN,Canada,0,118,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,29.04,0,316003678,,Seaspan ULC,0,1673,"Vancouver, BC",0,,Star Shipyards Mercer's Ltd,,Miscellaneous,Towing / Pushing,Tug,Ship Shape Including Multi-Hulls,Specialist 1,Tug,,0,,B32A2ST,0
6503896,WESTERN KING,In Service/Commission,Fishing Vessel,178,0,0,7.45,,,0,,Canada,196400,0,0,CAN,Canada,0,0,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,24.88,0,316003779,,Roberts Fishing,0,1673,"Vancouver, BC",0,,Benson Bros - Vancouver,,Fishing,Fish Catching,Fishing Vessel,Ship Shape Including Multi-Hulls,Fishing,Fishing Vessel,,0,,B11B2FV,0
6510148,QUEEN OF BURNABY,In Service/Commission,Passenger/Ro-Ro Ship (Vehicles),4903,1176,0,23.17,,Passengers; unberthed 987; Cars 152; Trailers 8,0,Lloyd's Register (1965-05-00)LR Class: + 100 A1 Survey Type: Continuous Survey Date: 2008-05 Class Notation: Strait of Georgia service LR Machinery Class: LR Maltese Cross LMC Fee Numeral: 3577 LR Hull Notes: 10BH,Canada,196505,0,3.963,CAN,Canada,0,0,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,129.98,0,316001246,,British Columbia Ferry,987,1497,"Victoria, BC",0,,Victoria Machinery Depot Co,,Dry Cargo/Passenger,Passenger/Ro-Ro Cargo,Passenger/Ro-Ro Cargo Ship,Ship Shape Including Multi-Hulls,Passenger,Passenger/Ro-Ro Ship (Vehicles),,18,,A36A2PR,0
6510746,BLUE PACIFIC,In Service/Commission,Fishing Vessel,867,0,0,9.76,,,0,,United States Of America,194400,0,3.306,USA,United States Of America,0,59,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,54.82,0,366480000,,Blue North Fisheries Inc,0,2112,"Seattle, WA",0,,Higgins,,Fishing,Fish Catching,Fishing Vessel,Ship Shape Including Multi-Hulls,Fishing,Fishing Vessel,,10,,B11B2FV,0
